AU,TI,SO,citations WOS,citations all data bases,UT,PM
"Cordero-Erausquin, D; Nazaret, B; Villani, C",A mass-transportation approach to sharp Sobolev and Gagliardo-Nirenberg inequalities,ADVANCES IN MATHEMATICS,136,138,WOS:000188790500004,
"Chen, CC; Lin, CS",Topological degree for a mean field equation on Riemann surfaces,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,136,136,WOS:000225857300001,
"Byeon, J; Wang, ZQ","Standing waves with a critical frequency for nonlinear Schrodinger equations, II",CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,136,139,WOS:000186034900006,
"Abramovich, D; Karu, K; Matsuki, K; Lodarczyk, JLW",Torification and factorization of birational maps,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,136,139,WOS:000175300400001,
"Bobenko, AI; Suris, YB",Integrable systems on quad-graphs,INTERNATIONAL MATHEMATICS RESEARCH NOTICES,136,141,WOS:000174745300002,
"Yang, T; Yao, ZA; Zhu, CJ",Compressible Navier-Stokes equations with density-dependent viscosity and vacuum,COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,136,144,WOS:000169918100009,
"Ambrosio, L; Kirchheim, B",Rectifiable sets in metric and Banach spaces,MATHEMATISCHE ANNALEN,136,139,WOS:000165609300005,
"Baumslag, G; Myasnikov, A; Remeslennikov, V",Algebraic geometry over groups I. Algebraic sets and ideal theory,JOURNAL OF ALGEBRA,136,138,WOS:000082241400002,
"Lasiecka, I; Triggiani, R; Yao, PF",Inverse/observability estimates for second-order hyperbolic equations with variable coefficients,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,136,140,WOS:000086570600002,
"Ansari, QH; Yao, JC",A fixed point theorem and its applications to a system of variational inequalities,BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY,136,150,WOS:000081262600010,
"Jiang, XH; Su, HB",On a simple unital projectionless C*-algebra,AMERICAN JOURNAL OF MATHEMATICS,136,139,WOS:000079370300005,
"Biane, P",Processes with free increments,MATHEMATISCHE ZEITSCHRIFT,136,137,WOS:000072061800008,
"Lair, AV; Shaker, AW",Classical and weak solutions of a singular semilinear elliptic problem,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,136,146,WOS:A1997XL39000001,
"FORTI, M",ON GLOBAL ASYMPTOTIC STABILITY OF A CLASS OF NONLINEAR-SYSTEMS ARISING IN NEURAL-NETWORK THEORY,JOURNAL OF DIFFERENTIAL EQUATIONS,136,140,WOS:A1994PK43600012,
"LIONS, PL",COMPACTNESS IN BOLTZMANNS EQUATION VIA FOURIER INTEGRAL-OPERATORS AND APPLICATIONS .1.,JOURNAL OF MATHEMATICS OF KYOTO UNIVERSITY,136,138,WOS:A1994PD48500009,
"ALAMA, S; TARANTELLO, G",ON SEMILINEAR ELLIPTIC-EQUATIONS WITH INDEFINITE NONLINEARITIES,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,136,136,WOS:A1993MG32000005,
"VOIGT, M",LIST COLORINGS OF PLANAR GRAPHS,DISCRETE MATHEMATICS,136,145,WOS:A1993LY40900020,
"Nishihara, K",L-p-L-q estimates of solutions to the damped wave equation in 3-dimensional space and their application,MATHEMATISCHE ZEITSCHRIFT,135,139,WOS:000184115100011,
"Hu, ZJ",Extended Cesaro operators on mixed norm spaces,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,135,163,WOS:000181708300027,
"Last, Y; Simon, B","Eigenfunctions, transfer matrices, and absolutely continuous spectrum of one-dimensional Schrodinger operators",INVENTIONES MATHEMATICAE,135,136,WOS:000078265700004,
"Garcia, A; Stichtenoth, H",On the asymptotic behaviour of some towers of function fields over finite fields,JOURNAL OF NUMBER THEORY,135,138,WOS:A1996VY53600003,
"Molev, A; Nazarov, M; Olshanskii, G",Yangians and classical Lie algebras,RUSSIAN MATHEMATICAL SURVEYS,135,135,WOS:A1996VK98200002,
"Sturm, KT",Analysis on local dirichlet spaces .3. The parabolic Harnack inequality,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,135,135,WOS:A1996UL32200004,
"BARTSCH, T; WILLEM, M",ON AN ELLIPTIC EQUATION WITH CONCAVE AND CONVEX NONLINEARITIES,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,135,149,WOS:A1995TF06100044,
"LIM, TC; XU, HK",FIXED-POINT THEOREMS FOR ASYMPTOTICALLY NONEXPANSIVE-MAPPINGS,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,135,156,WOS:A1994NV68700005,
"SAPIRO, G; TANNENBAUM, A",ON AFFINE PLANE CURVE EVOLUTION,JOURNAL OF FUNCTIONAL ANALYSIS,135,135,WOS:A1994MR78700004,
"Mao, XR; Sabanis, S; Renshaw, E",Asymptotic behaviour of the stochastic Lotka-Volterra model,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,134,142,WOS:000186208400009,
"Xu, BL; Noor, MA",Fixed-point iterations for asymptotically nonexpansive mappings in Banach spaces,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,134,151,WOS:000174386100004,
"Reiten, I; Van Den Bergh, M",Noetherian hereditary abelian categories satisfying Serre duality,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,134,144,WOS:000173651000002,
"Lawler, GF; Schramm, O; Werner, W","Values of Brownian intersection exponents, II: Plane exponents",ACTA MATHEMATICA,134,137,WOS:000173874200005,
"Pujals, ER; Sambarino, M",Homoclinic tangencies and hyperbolicity for surface diffeomorphisms,ANNALS OF MATHEMATICS,134,135,WOS:000088929000002,
"Bonk, M; Schramm, O",Embeddings of Gromov hyperbolic spaces,GEOMETRIC AND FUNCTIONAL ANALYSIS,134,135,WOS:000088190400002,
"Christodoulou, D",The instability of naked singularities in the gravitational collapse of a scaler field,ANNALS OF MATHEMATICS,134,134,WOS:000079664300006,
"Jorgensen, PET; Pedersen, S",Dense analytic subspaces in fractal L-2-spaces,JOURNAL D ANALYSE MATHEMATIQUE,134,147,WOS:000076572400010,
"Just, W; Miller, AW; Scheepers, M; Szeptycki, PJ",The combinatorics of open covers .2.,TOPOLOGY AND ITS APPLICATIONS,134,134,WOS:A1996VU90900006,
"VOICULESCU, D",THE ANALOGS OF ENTROPY AND OF FISHER INFORMATION MEASURE IN FREE PROBABILITY-THEORY .2.,INVENTIONES MATHEMATICAE,134,136,WOS:A1994PN50200002,
"SACKER, RJ; SELL, GR",DICHOTOMIES FOR LINEAR EVOLUTIONARY EQUATIONS IN BANACH-SPACES,JOURNAL OF DIFFERENTIAL EQUATIONS,134,135,WOS:A1994PK43600002,
"ENGWERDA, JC; RAN, ACM; RIJKEBOER, AL",NECESSARY AND SUFFICIENT CONDITIONS FOR THE EXISTENCE OF A POSITIVE-DEFINITE SOLUTION OF THE MATRIX EQUATION X+A-ASTERISK-X-1A=Q,LINEAR ALGEBRA AND ITS APPLICATIONS,134,144,WOS:A1993LD06200016,
"MERLE, F",DETERMINATION OF BLOW-UP SOLUTIONS WITH MINIMAL MASS FOR NONLINEAR SCHRODINGER-EQUATIONS WITH CRITICAL POWER,DUKE MATHEMATICAL JOURNAL,134,141,WOS:A1993KN43500007,
"Pang, PYH; Wang, MX",Strategy and stationary pattern in a three-species predator-prey model,JOURNAL OF DIFFERENTIAL EQUATIONS,133,171,WOS:000221176200004,
"Bellettini, G; Caselles, V; Novaga, M",The total variation flow in R-N,JOURNAL OF DIFFERENTIAL EQUATIONS,133,132,WOS:000178469300007,
"Jager, W; Mikelic, A",On the roughness-induced effective boundary conditions for an incompressible viscous flow,JOURNAL OF DIFFERENTIAL EQUATIONS,133,138,WOS:000167220100005,
"Ouyang, TC; Shi, JP","Exact multiplicity of positive solutions for a class of semilinear problem, II",JOURNAL OF DIFFERENTIAL EQUATIONS,133,136,WOS:000083378400005,
"Chemin, JY",Theorems of unicity for the tridimensional Navier-Stokes system,JOURNAL D ANALYSE MATHEMATIQUE,133,134,WOS:000080779100002,
"Duong, XT; MacIntosh, A",Singular integral operators with non-smooth kernels on irregular domains,REVISTA MATEMATICA IBEROAMERICANA,133,153,WOS:000084312100001,
"Wei, JC",On the boundary spike layer solutions to a singularly perturbed Neumann problem,JOURNAL OF DIFFERENTIAL EQUATIONS,133,134,WOS:A1997WH18600005,
"Otto, F",L(1)-contraction and uniqueness for quasilinear elliptic-parabolic equations,JOURNAL OF DIFFERENTIAL EQUATIONS,133,136,WOS:A1996VN61000002,
"Poliquin, RA; Rockafellar, RT",Prox-regular functions in variational analysis,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,133,134,WOS:A1996UK76900007,
"Caffarelli, L; Crandall, MG; Kocan, M; Swiech, A",On viscosity solutions of fully nonlinear equations with measurable ingredients,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,133,134,WOS:A1996UG65100003,
"BAILEY, TN; EASTWOOD, MG; GOVER, AR","THOMASS STRUCTURE BUNDLE FOR CONFORMAL, PROJECTIVE AND RELATED STRUCTURES",ROCKY MOUNTAIN JOURNAL OF MATHEMATICS,133,133,WOS:A1994QQ37100001,
"GARDNER, RJ",A POSITIVE ANSWER TO THE BUSEMANN-PETTY PROBLEM IN 3 DIMENSIONS,ANNALS OF MATHEMATICS,133,143,WOS:A1994PP63800007,
"VANDAELE, A",MULTIPLIER HOPF-ALGEBRAS,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,133,133,WOS:A1994NE14000024,
"BORWEIN, JM; ZHUANG, D",SUPER EFFICIENCY IN VECTOR OPTIMIZATION,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,133,197,WOS:A1993LJ23300005,
"DOUADY, A; HUBBARD, JH",A PROOF OF THURSTONS TOPOLOGICAL CHARACTERIZATION OF RATIONAL FUNCTIONS,ACTA MATHEMATICA,133,134,WOS:A1993MV49500004,
"Gubinelli, M",Controlling rough paths,JOURNAL OF FUNCTIONAL ANALYSIS,132,132,WOS:000224502200005,
"Wang, XJ; Zhu, XH",Kahler-Ricci solitons on toric manifolds with positive first Chern class,ADVANCES IN MATHEMATICS,132,134,WOS:000223874600004,
"Dillon, JF; Dobbertin, H",New cyclic difference sets with Singer parameters,FINITE FIELDS AND THEIR APPLICATIONS,132,146,WOS:000222375300006,
"Rodnianski, I; Schlag, W",Time decay for solutions of Schrodinger equations with rough and time-dependent potentials,INVENTIONES MATHEMATICAE,132,133,WOS:000188839900001,
"Messaoudi, SA",Blow up and global existence in a nonlinear viscoelastic wave equation,MATHEMATISCHE NACHRICHTEN,132,140,WOS:000186704900006,
"del Pino, M; Felmer, P",Semi-classical states of nonlinear Schrodinger equations: a variational reduction method,MATHEMATISCHE ANNALEN,132,132,WOS:000178830000001,
"Sarig, OM",Thermodynamic formalism for countable Markov shifts,ERGODIC THEORY AND DYNAMICAL SYSTEMS,132,133,WOS:000085161900010,
"Albeverio, S; Kondratiev, YG; Rockner, M",Analysis and geometry on configuration spaces,JOURNAL OF FUNCTIONAL ANALYSIS,132,134,WOS:000073362400008,
"Deift, PA; Its, AR; Zhou, X","A Riemann-Hilbert approach to asymptotic problems arising in the theory of random matrix models, and also in the theory of integrable statistical mechanics",ANNALS OF MATHEMATICS,132,135,WOS:A1997XW72200004,
"Shimizu, T; Takahashi, W",Strong convergence to common fixed points of families of nonexpansive mappings,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,132,144,WOS:000071140900004,
"Park, SH; Kim, H",Foundations of the KKM theory on generalized convex spaces,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,132,177,WOS:A1997WZ39900014,
"Ambrosio, L; Soner, HM",Level set approach to mean curvature flow in arbitrary codimension,JOURNAL OF DIFFERENTIAL GEOMETRY,132,132,WOS:A1996VN77800001,
"Schoen, R; Zhang, D",Prescribed scalar curvature on the n-sphere,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,132,134,WOS:A1996TH25000001,
"LADA, T; MARKL, M",STRONGLY HOMOTOPY LIE-ALGEBRAS,COMMUNICATIONS IN ALGEBRA,132,133,WOS:A1995QW40100011,
"CAMILLO, VP; YU, HP","EXCHANGE RINGS, UNITS AND IDEMPOTENTS",COMMUNICATIONS IN ALGEBRA,132,145,WOS:A1994PB25000008,
"Marcus, A; Tardos, G",Excluded permutation matrices and the Stanley-Wilf conjecture,JOURNAL OF COMBINATORIAL THEORY SERIES A,131,131,WOS:000222185000010,
"Ammar-Khodja, F; Benabdallah, A; Rivera, JEM; Racke, R",Energy decay for Timoshenko systems of memory type,JOURNAL OF DIFFERENTIAL EQUATIONS,131,131,WOS:000185490900004,
"del Pino, M; Felmer, P; Musso, M",Two-bubble solutions in the super-critical Bahri-Coron's problem,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,131,131,WOS:000181527600001,
"Crandall, MG; Evans, LC; Gariepy, RF",Optimal Lipschitz extensions and the infinity laplacian,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,131,132,WOS:000171307100001,
"Li, AM; Ruan, YB",Symplectic surgery and Gromov-Witten invariants of Calabi-Yau 3-folds,INVENTIONES MATHEMATICAE,131,136,WOS:000169329700007,
"Arnoux, P; Ito, S",Pisot substitutions and Rauzy fractals,BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,131,131,WOS:000169438000003,
"Davis, JF; Luck, W",Spaces over a category and assembly maps in isomorphism conjectures in K- and L-theory,K-THEORY,131,132,WOS:000077406300001,
"Byszewski, L; Akca, H",Existence of solutions of a semilinear functional-differential evolution nonlocal problem,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,131,136,WOS:000075003100005,
"Denef, J; Loeser, F",Motivic Igusa zeta functions,JOURNAL OF ALGEBRAIC GEOMETRY,131,132,WOS:000074043200002,
"Aleman, A; Siskakis, AG",Integration operators on Bergman spaces,INDIANA UNIVERSITY MATHEMATICS JOURNAL,131,154,WOS:A1997YL21100001,
"Komlos, J; Sarkozy, GN; Szemeredi, E",Blow-up Lemma,COMBINATORICA,131,131,WOS:A1997XX59100009,
"Gui, CF",Multipeak solutions for a semilinear Neumann problem,DUKE MATHEMATICAL JOURNAL,131,131,WOS:A1996VH24600007,
"BILER, P; HEBISCH, W; NADZIEJA, T",THE DEBYE SYSTEM - EXISTENCE AND LARGE TIME BEHAVIOR OF SOLUTIONS,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,131,133,WOS:A1994PX05800008,
"LIU, WM",CRITERION OF HOPF BIFURCATIONS WITHOUT USING EIGENVALUES,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,131,146,WOS:A1994NE34200017,
"STRANG, G",WAVELET TRANSFORMS VERSUS FOURIER-TRANSFORMS,BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,131,133,WOS:A1993KY49300003,
"Guo, Y",The Vlasov-Maxwell-Boltzmann system near Maxwellians,INVENTIONES MATHEMATICAE,130,130,WOS:000185315700006,
"Carrillo, JA; McCann, RJ; Villani, C",Kinetic equilibration rates for granular media and related equations: entropy dissipation and mass transportation estimates,REVISTA MATEMATICA IBEROAMERICANA,130,131,WOS:000221115100009,
"Chow, B; Luo, F",Combinatorial Ricci flows on surfaces,JOURNAL OF DIFFERENTIAL GEOMETRY,130,133,WOS:000186005000004,
"Chen, CC; Lin, CS",Sharp estimates for solutions of multi-bubbles in compact Riemann surfaces,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,130,130,WOS:000175088300002,
"Caddeo, R; Montaldo, S; Oniciuc, C",Biharmonic submanifolds of S-3,INTERNATIONAL JOURNAL OF MATHEMATICS,130,134,WOS:000172175100001,
"Aldous, DJ",The zeta(2) limit in the random assignment problem,RANDOM STRUCTURES & ALGORITHMS,130,131,WOS:000169604800005,
"Kong, Q",Interval criteria for oscillation of second-order linear ordinary differential equations,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,130,156,WOS:000078039800015,
"Merris, R",Laplacian graph eigenvectors,LINEAR ALGEBRA AND ITS APPLICATIONS,130,139,WOS:000075319400013,
"Rosa, R",The global attractor for the 2D Navier-Stokes flow on some unbounded domains,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,130,144,WOS:000071531200007,
"Li, YY",On a singularly perturbed equation with Neumann boundary condition,COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,130,130,WOS:000073490700004,
"Cruceanu, V; Fortuny, P; Gadea, PM",A survey on paracomplex geometry,ROCKY MOUNTAIN JOURNAL OF MATHEMATICS,130,131,WOS:A1996UK78000005,
"Bergelson, V; Leibman, A",Polynomial extensions of van der Waerden's and Szemeredi's theorems,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,130,133,WOS:A1996UR14600004,
"Baez, JC",Spin networks in Gauge theory,ADVANCES IN MATHEMATICS,130,130,WOS:A1996TU52600007,
"Taubes, CH",THE SEIBERG-WITTEN AND GROMOV INVARIANTS,MATHEMATICAL RESEARCH LETTERS,130,131,WOS:000209444400010,
"Trudinger, NS",On the Dirichlet problem for Hessian equations,ACTA MATHEMATICA,130,136,WOS:A1995TR99600001,
"VANDENDRIES, L; MACINTYRE, A; MARKER, D",THE ELEMENTARY THEORY OF RESTRICTED ANALYTIC FIELDS WITH EXPONENTIATION,ANNALS OF MATHEMATICS,130,130,WOS:A1994PE55800006,
"KOHN, RV; MULLER, S",SURFACE-ENERGY AND MICROSTRUCTURE IN COHERENT PHASE-TRANSITIONS,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,130,131,WOS:A1994NT96900001,
"DEGIOVANNI, M; MARZOCCHI, M",A CRITICAL-POINT THEORY FOR NONSMOOTH FUNCTIONALS,ANNALI DI MATEMATICA PURA ED APPLICATA,130,139,WOS:A1994QU08400004,
"DIBENEDETTO, E; MANFREDI, J",ON THE HIGHER INTEGRABILITY OF THE GRADIENT OF WEAK SOLUTIONS OF CERTAIN DEGENERATE ELLIPTIC-SYSTEMS,AMERICAN JOURNAL OF MATHEMATICS,130,134,WOS:A1993MH58100004,
"POSCHEL, J",NEKHOROSHEV ESTIMATES FOR QUASI-CONVEX HAMILTONIAN-SYSTEMS,MATHEMATISCHE ZEITSCHRIFT,130,130,WOS:A1993LJ09100002,
"TERWILLIGER, P",THE SUBCONSTITUENT ALGEBRA OF AN ASSOCIATION SCHEME .3.,JOURNAL OF ALGEBRAIC COMBINATORICS,130,130,WOS:A1993MM98000007,
"VESELOV, AP; SHABAT, AB",DRESSING CHAINS AND THE SPECTRAL THEORY OF THE SCHRODINGER OPERATOR,FUNCTIONAL ANALYSIS AND ITS APPLICATIONS,130,132,WOS:A1993ME86400001,
"Drinfeld, V",DG quotients of DG categories,JOURNAL OF ALGEBRA,129,129,WOS:000188369100012,
"Cools, R",An encyclopaedia of cubature formulas,JOURNAL OF COMPLEXITY,129,130,WOS:000182894300019,
"Jeanjean, L; Tanaka, K",A remark on least energy solutions in R-N,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,129,129,WOS:000182106400012,
"Figueroa-Centeno, RM; Ichishima, R; Muntaner-Batle, FA",The place of super edge-magic labelings among other classes of labelings,DISCRETE MATHEMATICS,129,131,WOS:000167835300015,
"Montes-Rodriguez, A",Weighted composition operators on weighted Banach spaces of analytic functions,JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,129,134,WOS:000089262300018,
"Nazarov, F; Treil, S; Volberg, A",The bellman functions and two-weight inequalities for Haar multipliers,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,129,129,WOS:000081784100001,
"Eagon, JA; Reiner, V",Resolutions of Stanley-Reisner rings and Alexander duality,JOURNAL OF PURE AND APPLIED ALGEBRA,129,129,WOS:000075032200004,
"Bertozzi, AL; Pugh, MC",Long-wave instabilities and saturation in thin film equations,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,129,131,WOS:000073313900003,
"Breu, H; Kirkpatrick, DG",Unit disk graph recognition is NP-hard,COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,129,135,WOS:000071647000002,
"Ntouyas, SK; Tsamatos, PC",Global existence for semilinear evolution equations with nonlocal conditions,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,129,138,WOS:A1997XF99300018,
"Basak, GK; Bisi, A; Ghosh, MK",Stability of a random diffusion with linear drift,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,129,153,WOS:A1996VE84100016,
"Scheepers, M",Combinatorics of open covers .1. Ramsey theory,TOPOLOGY AND ITS APPLICATIONS,129,129,WOS:A1996UB01700003,
"Poschel, J",Quasi-periodic solutions for a nonlinear wave equation,COMMENTARII MATHEMATICI HELVETICI,129,134,WOS:A1996UV83700006,
"CHANG, SYA; YANG, PC",EXTREMAL METRICS OF ZETA-FUNCTION DETERMINANTS ON 4-MANIFOLDS,ANNALS OF MATHEMATICS,129,130,WOS:A1995RJ11300004,
"GUILLEMIN, V",KAEHLER STRUCTURES ON TORIC VARIETIES,JOURNAL OF DIFFERENTIAL GEOMETRY,129,129,WOS:A1994PH60600003,
"BALL, K; CARLEN, EA; LIEB, EH",SHARP UNIFORM CONVEXITY AND SMOOTHNESS INEQUALITIES FOR TRACE NORMS,INVENTIONES MATHEMATICAE,129,132,WOS:A1994NC80800005,
"CHAZELLE, B",AN OPTIMAL CONVEX-HULL ALGORITHM IN ANY FIXED DIMENSION,DISCRETE & COMPUTATIONAL GEOMETRY,129,133,WOS:A1993MB72300002,
"Arendt, W; Bu, SQ",The operator-valued Marcinkiewicz multiplier theorem and maximal regularity,MATHEMATISCHE ZEITSCHRIFT,128,132,WOS:000176918100005,
"Lutwak, E; Yang, D; Zhang, GY",A new ellipsoid associated with convex bodies,DUKE MATHEMATICAL JOURNAL,128,152,WOS:000089540500002,
"Branciari, A",A fixed point theorem of Banach-Caccioppoli type on a class of generalized metric spaces,PUBLICATIONES MATHEMATICAE-DEBRECEN,128,131,WOS:000088742800004,
"Edmunds, DE; Kerman, R; Pick, L",Optimal Sobolev imbeddings involving rearrangement-invariant quasinorms,JOURNAL OF FUNCTIONAL ANALYSIS,128,130,WOS:000085434700003,
"Bercovici, H; Pata, V",Stable laws and domains of attraction in free probability theory,ANNALS OF MATHEMATICS,128,128,WOS:000082254900010,
"Gardner, RJ; Koldobsky, A; Schlumprecht, T",An analytic solution to the Busemann-Petty problem on sections of convex bodies,ANNALS OF MATHEMATICS,128,135,WOS:000080647700011,
"Solodov, MV; Svaiter, BF",A Hybrid Projection-Proximal Point Algorithm,JOURNAL OF CONVEX ANALYSIS,128,133,WOS:000208934500005,
"Allaire, G; Briane, M",Multiscale convergence and reiterated homogenisation,PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,128,133,WOS:A1996UJ57200006,
"MISCHAIKOW, K; SMITH, H; THIEME, HR",ASYMPTOTICALLY AUTONOMOUS SEMIFLOWS - CHAIN RECURRENCE AND LYAPUNOV FUNCTIONS,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,128,129,WOS:A1995QY78600006,
"CUNTZ, JC; QUILLEN, D",ALGEBRA EXTENSIONS AND NONSINGULARITY,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,128,131,WOS:A1995QT52800001,
"PALUSZYNSKI, M","CHARACTERIZATION OF THE BESOV-SPACES VIA THE COMMUTATOR OPERATOR OF COIFMAN, ROCHBERG AND WEISS",INDIANA UNIVERSITY MATHEMATICS JOURNAL,128,183,WOS:A1995RM18500001,
"KASHIWARA, M",CRYSTAL BASES OF MODIFIED QUANTIZED ENVELOPING ALGEBRA,DUKE MATHEMATICAL JOURNAL,128,128,WOS:A1994NA57200007,
"MCNAUGHTON, R",INFINITE GAMES PLAYED ON FINITE GRAPHS,ANNALS OF PURE AND APPLIED LOGIC,128,128,WOS:A1993MU14500003,
"AMBROSIO, L; BUTTAZZO, G",AN OPTIMAL-DESIGN PROBLEM WITH PERIMETER PENALIZATION,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,128,130,WOS:A1993MG14000003,
"Jeanjean, L; Tanaka, K",Singularly perturbed elliptic problems with superlinear or asymptotically linear nonlinearities,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,127,129,WOS:000224734200005,
"Hartman, A; Raskin, L",Problems and algorithms for covering arrays,DISCRETE MATHEMATICS,127,129,WOS:000222553900015,
"Merle, F; Raphael, P",On universality of blow-up profile for L-2 critical nonlinear Schrodinger equation,INVENTIONES MATHEMATICAE,127,133,WOS:000221235200004,
"Carlet, C; Ding, CS",Highly nonlinear mappings,JOURNAL OF COMPLEXITY,127,138,WOS:000220751700007,
"Killip, R; Simon, B",Sum rules for Jacobi matrices and their applications to spectral theory,ANNALS OF MATHEMATICS,127,129,WOS:000185117400005,
"Muger, M",From subfactors to categories and topology II: The quantum double of tensor categories and subfactors,JOURNAL OF PURE AND APPLIED ALGEBRA,127,129,WOS:000182052100006,
"Temlyakov, VN",Nonlinear methods of approximation,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,127,139,WOS:000180811600002,
"Desvillettes, L; Villani, C",On the trend to global equilibrium in spatially inhomogeneous entropy-dissipating systems: The linear Fokker-Planck equation,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,127,128,WOS:000165496800001,
"Miller, KS; Samko, SG",Completely monotonic functions,INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS,127,128,WOS:000173555300008,
"Bownik, M",The structure of shift-invariant subspaces of L-2(R-n),JOURNAL OF FUNCTIONAL ANALYSIS,127,129,WOS:000165600900002,
"Alves, CO; de Morais, DC; Souto, MAS",On systems of elliptic equations involving subcritical or critical Sobolev exponents,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,127,148,WOS:000088976000004,
"Tisseur, F",Backward error and condition of polynomial eigenvalue problems,LINEAR ALGEBRA AND ITS APPLICATIONS,127,138,WOS:000086479400018,
"Viaclovsky, JA","Conformal geometry, contact geometry, and the calculus of variations",DUKE MATHEMATICAL JOURNAL,127,129,WOS:000085261700007,
"Dziubanski, J; Zienkiewicz, J",Hardy space H-1 associated to Schrodinger operator with potential satisfying reverse Holder inequality,REVISTA MATEMATICA IBEROAMERICANA,127,132,WOS:000084312100003,
"Jung, SM",Hyers-Ulam-Rassias stability of Jensen's equation and its application,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,127,129,WOS:000076507700002,
"Amann, H; Lopez-Gomez, J",A priori bounds and multiple solutions for superlinear indefinite elliptic problems,JOURNAL OF DIFFERENTIAL EQUATIONS,127,128,WOS:000074708500004,
"Bierstedt, KD; Bonet, J; Taskinen, J",Associated weights and spaces of holomorphic functions,STUDIA MATHEMATICA,127,136,WOS:000071785200003,
"Nieto, JJ",Basic theory for nonresonance impulsive periodic problems of first order,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,127,134,WOS:A1997WF45300009,
"Last, Y",Quantum dynamics and decompositions of singular continuous spectra,JOURNAL OF FUNCTIONAL ANALYSIS,127,127,WOS:A1996WA69700006,
"DeHaan, L; Stadtmuller, U",Generalized regular variation of second order,JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY SERIES A-PURE MATHEMATICS AND STATISTICS,127,129,WOS:A1996VY88900008,
"Hardin, RH; Sloane, NJA",McLaren's improved snub cube and other new spherical designs in three dimensions,DISCRETE & COMPUTATIONAL GEOMETRY,127,128,WOS:A1996UG26400004,
"WEST, J",GENERATING TREES AND THE CATALAN AND SCHRODER NUMBERS,DISCRETE MATHEMATICS,127,129,WOS:A1995TH16800019,
